Spårvägsmuseet,59.311532448255385,18.09886741749999,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446231;;;;
Ringvägen,59.318189692819196,18.05021445882743,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446230;;;;
Stockholm Tengdahlsgatan,59.31015751418982,18.095349943588115,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446233;;;;
Nackagatan,59.31107678714427,18.096693922864844,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446232;;;;
Finnboda hamn,59.31322086809184,18.120691716221838,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446235;;;;
Danvikshemsvägen,59.31296411939412,18.11593167759472,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446234;;;;
Mjölnarvägen,59.31535594625155,18.133414430682336,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446237;;;;
Finnbergsvägen,59.312923463543825,18.131842933853008,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446236;;;;
Ambassaderna,59.33323365358583,18.104161298820593,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446239;;;;
Tre kronor,59.316851409853776,18.135659874670893,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446238;;;;
Andra tvärvägen,59.35610719975204,18.1061121977153,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446208;;;;
Mjärdgränd,59.30641621130345,18.089531418683656,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446210;;;;
Nätgränd,59.306056103736935,18.085994997555044,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446211;;;;
Barnängen,59.30976758630042,18.09709762647612,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446212;;;;
Färjeläget,59.30839991859604,18.09725148902472,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446213;;;;
Frödingsvägen,59.33044800190477,18.00220341644254,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446214;;;;
Starrbäcksängen,59.3471696623791,18.087344668877193,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446215;;;;
Erik Dahlbergsgatan/Valhallavä,59.341725016578415,18.091093106009925,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446216;;;;
Kallskärsgatan,59.34308162856324,18.092080868816126,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446217;;;;
Tessinparken,59.345196314725015,18.093365841342916,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446218;;;;
Rindögatan,59.347496170397434,18.093309563829017,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446219;;;;
Gäddviken,59.31267214251907,18.12831275691894,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446220;;;;
Skinnarviken,59.31971089125895,18.043217200769885,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446221;;;;
Reimersholme,59.317907824594556,18.021034332398234,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446222;;;;
Varvsgatan (på Heleneborgsgata,59.319269212733715,18.038602943231886,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446223;;;;
Polhemsgatan,59.33016567028893,18.03575044724728,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446078;;;;
Landstingshuset,59.32942223397838,18.04035861650855,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446079;;;;
Rödabergsgatan,59.34379975046393,18.03558949300495,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446076;;;;
Kronobergsgatan (på Hantverkar,59.330880812786596,18.031737745125042,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446077;;;;
Torsplan,59.345425554897304,18.03293580925722,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446074;;;;
Fleminggatan/St Eriksgatan,59.335099245031095,18.032910113287326,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446075;;;;
Prostvägen,59.35094010043136,18.026034727818068,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446072;;;;
Karolinska institutet,59.34800241956325,18.029799026616068,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446073;;;;
Tomteboda-Karolinska inst.,59.34613198276592,18.023101136944955,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446068;;;;
Stockholm Djurgårdsskolan,59.32325200936238,18.10494558688253,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446066;;;;
Stockholm Bellmansro,59.3240064345963,18.110531339309176,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446067;;;;
Kungsgatan,59.33334805511365,18.05696141923213,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446064;;;;
Stockholm Styrmansgatan,59.33158307830066,18.084629872420628,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446065;;;;
Norra Bantorget,59.33496610754798,18.05478358552179,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446063;;;;
Tegnérgatan (Dalagatan),59.33747193635423,18.05059004956341,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446062;;;;
Sabbatsbergs sjukhus,59.339025284635994,18.04851286099139,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446061;;;;
Vasaparken,59.34165029956091,18.04573258317518,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446060;;;;
Wallingatan,59.335977105838765,18.052916988995644,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446059;;;;
Norra Stationsgatan (på Karlbe,59.34304874580415,18.028560931209373,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446058;;;;
Kulturskolans hus,59.334774747088716,18.02508518540823,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446056;;;;
Grindsgatan,59.308445686441594,18.067398179038737,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446055;;;;
Klippgatan,59.31388877253409,18.087924733249242,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446054;;;;
Sofiaskolan,59.31318353439432,18.094341416051087,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446053;;;;
Erstagatan,59.313970372183,18.090442064941367,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446052;;;;
Ersta sjukhus,59.31549728071071,18.089912135929872,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446051;;;;
Bondegatan,59.31357133541262,18.082458232425648,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446050;;;;
Åsögatan (på Renstiernas gata),59.31383266770622,18.084460592232702,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446048;;;;
Inedalsgatan,59.334478655137026,18.035593730799746,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446044;;;;
Johannes skola,59.35082818298154,18.05352916151653,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446045;;;;
Glasbruksgatan,59.318751768013996,18.07788565597379,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446046;;;;
Tjärhovsplan,59.31644785339195,18.08331811450793,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446047;;;;
Frejgatan (på Upplandsgatan),59.344397563084286,18.046810149914517,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446040;;;;
Vanadisvägen,59.3456752062866,18.044573571220084,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446041;;;;
Tredje tvärvägen,59.35404356059465,18.10804774023184,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446042;;;;
Universitetsvägen,59.362113478619186,18.057828725258123,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446043;;;;
Stockholm Djurgårdsbron,59.33182304054256,18.0934860139013,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446036;;;;
Sveaplan,59.34959858337314,18.049843226081585,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446037;;;;
Norrtullsgatan,59.346692975962014,18.046486698352176,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446038;;;;
Ynglingagatan,59.34898010513168,18.045599994973085,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446039;;;;
